LOKASI,Kondisi_Hidrant_Baik ,Kondisi_Hidrant_Rusak,Debit_Air_Besar,Debit_Air_Besar,Debit_Air_Besar
Jl. Raya Cibeureum simpang,Baik,-,Besar,-,-
Jl. Babakan Cibeureum.,Baik,-,Besar,-,-
Jl. Pajajaran simpang ,-,Rusak,Besar,-,-
jl. Nakula,-,Rusak,Besar,-,-
Jl. Pajajaran simpang ,Baik,-,Besar,-,-
jl. Pandu,Baik,-,Besar,-,-
Jl. Pasteur simpang        ,Baik,-,-,Sedang,-
jl. Babakan  ,Baik,-,-,Sedang,-
Jeruk dekat pintu TOL Padaleunyi,Baik,-,-,Sedang,-
Sukahaji bawah simpang         ,-,Rusak,Besar,-,-
jl. Setra,-,Rusak,Besar,-,-
Jl. Geger Kalong Hilir simpang ,Baik,-,Besar,-,-
jl. Sukahaji (depan Hotel Geger),Baik,-,Besar,-,-
Jl. Dr Sutami depan Rumah Zakat,Baik,-,-,Sedang,-
Jl. Dr Sutami depan Rumah  No 26,Baik,-,-,Sedang,-
Jl. Cikapayang Taman cikapayang,Baik,-,Besar,-,-
Jl. Supratman depan POm Bensin (Santa Maria),Baik,-,Besar,-,-
Jl. Supratman depan Gereja,Baik,-,Besar,-,-
Jl. Dipenogoro dekat Taman Lansia,-,Rusak,Besar,,
Jl. Setiabudi simpang ,Baik,-,Besar,-,-
jl. Hegar Manah (depan Hotel Sany Rosa),Baik,-,Besar,-,-
Jl. Sadang Tengah dekat Apotek Puri,-,Rusak,Besar,-,-
Jl. Setiabudi dekat Terminal Ledeng,-,Rusak,Besar,-,-
Jl. Setiabudi simpang,-,Rusak,Besar,-,-
Jl. Budisari,-,Rusak,Besar,-,-
Jl. Setiabudi depan no. 312,-,Rusak,Besar,-,-
Jl. Ters. A. Yani simpang jl. Cikadut,Baik,-,Besar,-,-
Jl. Ters. A. Yani depan P.T Grantex,-,Rusak,Besar,-,-
Jl. Ters. A. Yani depan  L.P. Sukamiskin,-,Rusak,Besar,-,-
Jl. Ters. A yani depan pintu   Perumahan ( Taman Sari Bukit Bandung ),Baik,-,Besar,-,-
Jl. Kiaracondong 465 B,-,Rusak,Besar,-,-
Jl. Lauk Emas No. 8,-,Rusak,Besar,-,-
Jl. Sukarno Hatta dekat POM bensin,-,Rusak,Besar,-,-
Jl. Waos No. 2,Baik,-,Besar,-,-
Jl. Buah Batu No. 26,-,Rusak,Besar,-,-
Jl. Sekelimus Tengah 01/07,-,Rusak,Besar,-,-
Jl. Baturaya Indah No. 74,-,Rusak,Besar,-,-
Jl. Buah batu depan Bank Muamalat,Baik,-,Besar,-,-
Jl. Inhoftank Rw 06,Baik,-,-,Sedang,-
Jl. Leuwi panjang Rt 07/06 Situ saeur,-,Rusak,Besar,-,-
Kebon Lega Rw 08 (Altamira),-,Rusak,Besar,-,-
Kebon Lega Cibintinu Rw 05,-,Rusak,-,Sedang,-
Kebon Lega Inhoftank Rw 02,-,Rusak,-,Sedang,-
Cibaduyut Kidul Salakadomas Rw 02,-,Rusak,Besar,-,-
Cibaduyut Kidul Rw 01,-,Rusak,Besar,-,-
Jl. Sukarno Hatta Bbk.Asih Rw 04,-,Rusak,-,Rusak,-
Jl. Peta Depan Polsek Bojongloa,Baik,-,Besar,-,-
Jl. Cibaduyut Raya sebelum jembatan tol (dekat belokan),Baik,-,Besar,-,-
Jl. Otista  depan Tukang cukur / disamping pintu gerbang tegallega,Baik,-,Besar,-,-
Jl. Ters. Buah Batu 113 (Gordon),-,Rusak,Besar,-,-
Jl. Arya Utama depan No. 6,-,Rusak,Besar,-,-
Jl. Arya Utama depan Kantor Pemasaran,-,Rusak,Besar,-,-
Jl. Arya Barat depan Taman,-,Rusak,Besar,-,-
Jl. Arya Barat II depan No. 7,-,Rusak,Besar,-,-
Jl. Arya Timur II depan No. 6,-,Rusak,Besar,-,-
Jl. Arya Timur III depan No. 1,-,Rusak,Besar,-,-
PT. Surya Jaya Bakti,-,Rusak,Besar,-,-